"Product","Description","Comments","Pack Size","Brand","UOM","Price"
4533831,"CUP, PLS COLD 12Z TRANSL","","15/57/PK","PRPKF","CS","68.88"
4135481,"CLEANER, DEGREASER FLOOR","","4/1/GL","PRCLN","CS","51.39"
3734111,"DISPENSER, SOAP HAND MANUAL 1250ML","","1/1/EA","PROPW","CS","0.01"
0562521,"GLOVE, CAST POLY PWDR FREE MED CLR","","4/100/PK","TXTRA","CS","12.02"
2933031,"NAPKIN, DISP 8.5X13"" NATRL EF","","12/500/PK","TORK","CS","45.61"
2743351,"PAPER, WRAP 12X12 GREASE RESISTANT","","5/1000/PK","PRPKO","CS","85.08"
1959881,"SYRUP, ROOT BEER BIB","","1/5/GL","BARQS","CS","93.76"
1959761,"SYRUP, COKE CLASC BIB 4.75X1","","1/5/GL","COKE","CS","93.88"
1959771,"SYRUP, COKE DIET 5.25X1 BIB","","1/5/GL","COKE","CS","95.14"
3328181,"SYRUP, GINGER ALE BIB","","1/2.5/GL","SEGRM","CS","52.69"
0790731,"SYRUP, LEMONADE BIB","","1/2.5/GL","MMAID","CS","52.65"
1858411,"SYRUP, LEMONADE LT BIB","","1/5/GL","MMAID","CS","98.12"
6675761,"TOOTHPICK, MINT IW EF","","4/1000/PK","ROYPP","CS","27.35"
2134981,"TOWEL, PAPER ROLL NATRL EF","","6/700/FT","TORK","CS","42.46"
4470801,"CHEESE, PROV INTERLEAF NATRL SLI .75Z","","6/1.5/LB","CBLSO","CS","26.36"
2097551,"BEAN, CHILI MEX STYL FCY","","6/10/CN","BHVSD","CS","29.97"
2975491,"TOMATO, DICED  JP","","6/10/CN","FLRED","CS","28.87"
3126391,"BUN, HOT DOG IW GLUTEN FREE","","1/24/PK","UDIS","CS","23.21"
3231331,"ROLL, HOAGIE 12"" IW GLUTEN FREE","","12/6.2/OZ","UDIS","CS","29.00"
3114851,"BUN, HAMBURGER CLASC 4"" IW GF","","1/24/PK","UDIS","CS","27.77"
1939001,"FRANKS, ALL BEEF 6"" 8X1 NC","","1/10/LB","VIENA","CS","74.71"
1594331,"RELISH, GRN","","1/2/GL","CHIPI","CS","26.00"
3055691,"JUICE, APPLE 100% TOT'S BOX","","32/6.75/OZ","MOTTS","CS","13.92"
1910241,"BEAN, KIDNEY DRK RED FCY GRD A","","6/10/CN","BHVSD","CS","29.46"
